127.0.0.1 - - [25/Sep/2024:17:19:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:04 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:04 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/images/report-icon.png HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:38 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/report HTTP/1.1" 200 8100
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:38 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/images/add.jpg HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:38 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/images/edit.jpg HTTP/1.1" 200 8461
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:38 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/images/home.jpg HTTP/1.1" 200 11559
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:38 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/images/del.jpg HTTP/1.1" 200 8194
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:50 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:52 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/report HTTP/1.1" 200 8100
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:19:56 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/emp_delete?no=1 HTTP/1.1" 404 275
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:20:14 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/emp_add HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:20:49 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:06:55 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:21 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:21 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:38 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:55 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:56 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:56 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:56 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:56 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:07:56 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:09:12 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:09:13 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:09:13 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:09:13 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:09:13 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:09:14 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:11:39 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/report HTTP/1.1" 200 8100
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:11:43 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/emp_add HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [25/Sep/2024:18:14:52 +0530] "GET /BootMVCProj07-MiniProject-CurdOperation/ HTTP/1.1" 200 277
